"EMS.Result.Unit","PARM_CD","parameter_name","Analysis.Method","Sample.Unit.Short.Name","Sample.Unit.Modifier","AQS.Name","name_in_aqs","cas_in_aqs","Analysis.Method_in_AQS"
"mg/L","SETH","CAS RN: 74051-80-2 Sethoxydim","E752","(fl. conc.)","","CAS RN: 74051-80-2 Sethoxydim (fl. conc.)",0,"",0
"mg/L","P018","Propoxur","E752","(fl. conc.)","","Propoxur (fl. conc.)",1,"114-26-1",0
"mg/L","THIME","CAS RN: 79277-27-3 Thifensulfuron-methyl","E752","(fl. conc.)","","CAS RN: 79277-27-3 Thifensulfuron-methyl (fl. conc.)",0,"",0
"mg/L","ANDA","Atrazine + n-dealkylated metabolites","E752","(fl. conc.)","","Atrazine + n-dealkylated metabolites (fl. conc.)",1,"1912-24-9, 6190-65-4, 1007-28-9",0
"mg/L","S001","Simazine","E752","(fl. conc.)","","Simazine (fl. conc.)",1,"122-34-9",0
"mg/L","M004","Metalaxyl","E752","(fl. conc.)","","Metalaxyl (fl. conc.)",1,"57837-19-1",0
"mg/L","P005","Phorate","E752","(fl. conc.)","","Phorate (fl. conc.)",1,"298-02-2",0
"mg/L","DCPM","Diclofop-methyl","E752","(fl. conc.)","","Diclofop-methyl (fl. conc.)",1,"51338-27-3",0
"mg/L","C040","Carbofuran","E752","(fl. conc.)","","Carbofuran (fl. conc.)",1,"1563-66-2",0
"mg/L","METSU","CAS RN: 74223-64-6 Metsulfuron-methyl","E752","(fl. conc.)","","CAS RN: 74223-64-6 Metsulfuron-methyl (fl. conc.)",0,"",0
"mg/L","CLOT","Clothianidin (Insecticide/Pesticide)","E752","(fl. conc.)","","Clothianidin (Insecticide/Pesticide) (fl. conc.)",1,"210880-92-5",0
"ng/L","PCB126","CAS RN: 57465-28-8 (3,3',4,4',5-pentachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 57465-28-8 (3,3',4,4',5-pentachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB126","CAS RN: 57465-28-8 (3,3',4,4',5-pentachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 57465-28-8 (3,3',4,4',5-pentachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB169","CAS RN: 32774-16-6 (3,3',4,4',5,5'-hexachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32774-16-6 (3,3',4,4',5,5'-hexachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB169","CAS RN: 32774-16-6 (3,3',4,4',5,5'-hexachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32774-16-6 (3,3',4,4',5,5'-hexachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB077","CAS RN: 32598-13-3 (3,3',4,4'-tetrachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32598-13-3 (3,3',4,4'-tetrachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB077","CAS RN: 32598-13-3 (3,3',4,4'-tetrachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32598-13-3 (3,3',4,4'-tetrachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB105","CAS RN: 32598-14-4 (2,3,3',4,4'-pentachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32598-14-4 (2,3,3',4,4'-pentachlorobiphenyl) (fl. conc.)",0,"",0
"ng/L","PCB105","CAS RN: 32598-14-4 (2,3,3',4,4'-pentachlorobiphenyl)","HRGCMS","(fl. conc.)","","CAS RN: 32598-14-4 (2,3,3',4,4'-pentachlorobiphenyl) (fl. conc.)",0,"",0
"per mille","D2-H","Delta 2-Hydrogen","CRDS",NA,NA,"Delta 2-Hydrogen NA NA",0,"",0
"per mille","D18O","Delta 18 Oxygen","CRDS",NA,NA,"Delta 18 Oxygen NA NA",0,"",0
"pg/g wet","B061","1,2,3,4,7,8,9-HpCDF","1101","(mass conc.)","(wet)","1,2,3,4,7,8,9-HpCDF (wet) (mass conc.)",1,"55673-89-7",1
"pg/g wet","B072","1,2,3,6,7,8-HxCDF","1101","(mass conc.)","(wet)","1,2,3,6,7,8-HxCDF (wet) (mass conc.)",1,"57117-44-9",1
"pg/g wet","B150","Total-TCDD","1101","(mass conc.)","(wet)","Total-TCDD (wet) (mass conc.)",1,"41903-57-5",1
"pg/g wet","B104","2,3,4,6,7,8-HxCDF","1101","(mass conc.)","(wet)","2,3,4,6,7,8-HxCDF (wet) (mass conc.)",1,"60851-34-5",1
"pg/g wet","B103","2,3,4,6,7,8-HxCDF","1101","(mass conc.)","(wet)","2,3,4,6,7,8-HxCDF (wet) (mass conc.)",1,"60851-34-5",1
"pg/g wet","B067","1,2,3,4,7,8-HxCDF","1101","(mass conc.)","(wet)","1,2,3,4,7,8-HxCDF (wet) (mass conc.)",1,"70648-26-9",1
"pg/g wet","B109","2,3,7,8-TCDD","1101","(mass conc.)","(wet)","2,3,7,8-TCDD (wet) (mass conc.)",1,"1746-01-6",1
"pg/g wet","B139","Total-HxCDD","1101","(mass conc.)","(wet)","Total-HxCDD (wet) (mass conc.)",1,"34465-46-8",1
"pg/g wet","B119","OCDD","1101","(mass conc.)","(wet)","OCDD (wet) (mass conc.)",1,"3268-87-9",1
"pg/g wet","B058","1,2,3,4,6,7,8-HpCDF","1101","(mass conc.)","(wet)","1,2,3,4,6,7,8-HpCDF (wet) (mass conc.)",1,"67562-39-4",1
"pg/g wet","B107","2,3,4,7,8-PeCDF","1101","(mass conc.)","(wet)","2,3,4,7,8-PeCDF (wet) (mass conc.)",1,"57117-31-4",1
"pg/g wet","B106","2,3,4,7,8-PeCDF","1101","(mass conc.)","(wet)","2,3,4,7,8-PeCDF (wet) (mass conc.)",1,"57117-31-4",1
"pg/g wet","B135","Total-HpCDF","1101","(mass conc.)","(wet)","Total-HpCDF (wet) (mass conc.)",1,"38998-75-3",1
"pg/g wet","B141","Total-HxCDF","1101","(mass conc.)","(wet)","Total-HxCDF (wet) (mass conc.)",1,"55684-94-1",1
"pg/g wet","B145","Total-PeCDD","1101","(mass conc.)","(wet)","Total-PeCDD (wet) (mass conc.)",1,"36088-22-9",1
"pg/g wet","B133","Total-HpCDD","1101","(mass conc.)","(wet)","Total-HpCDD (wet) (mass conc.)",1,"37871-00-4",1
"pg/g wet","B110","2,3,7,8-TCDD","1101","(mass conc.)","(wet)","2,3,7,8-TCDD (wet) (mass conc.)",1,"1746-01-6",1
"pg/g wet","B081","1,2,3,7,8-PeCDD","1101","(mass conc.)","(wet)","1,2,3,7,8-PeCDD (wet) (mass conc.)",1,"40321-76-4",1
"pg/g wet","B138","Total-HxCDD","1101","(mass conc.)","(wet)","Total-HxCDD (wet) (mass conc.)",1,"34465-46-8",1
"pg/g wet","B060","1,2,3,4,7,8,9-HpCDF","1101","(mass conc.)","(wet)","1,2,3,4,7,8,9-HpCDF (wet) (mass conc.)",1,"55673-89-7",1
"pg/g wet","B136","Total-HpCDF","1101","(mass conc.)","(wet)","Total-HpCDF (wet) (mass conc.)",1,"38998-75-3",1
"pg/g wet","B148","Total-PeCDF","1101","(mass conc.)","(wet)","Total-PeCDF (wet) (mass conc.)",1,"30402-15-4",1
"pg/g wet","B153","Total-TCDF","1101","(mass conc.)","(wet)","Total-TCDF (wet) (mass conc.)",1,"55722-27-5",1
"pg/g wet","B064","1,2,3,4,7,8-HxCDD","1101","(mass conc.)","(wet)","1,2,3,4,7,8-HxCDD (wet) (mass conc.)",1,"39227-28-6",1
"pg/g wet","B112","2,3,7,8-TCDF","1101","(mass conc.)","(wet)","2,3,7,8-TCDF (wet) (mass conc.)",1,"51207-31-9",1
"pg/g wet","B070","1,2,3,6,7,8-HxCDD","1101","(mass conc.)","(wet)","1,2,3,6,7,8-HxCDD (wet) (mass conc.)",1,"57653-85-7",1
"pg/g wet","B122","OCDF","1101","(mass conc.)","(wet)","OCDF (wet) (mass conc.)",1,"39001-02-0",1
"pg/g wet","B063","1,2,3,4,7,8-HxCDD","1101","(mass conc.)","(wet)","1,2,3,4,7,8-HxCDD (wet) (mass conc.)",1,"39227-28-6",1
"pg/g wet","B132","Total-HpCDD","1101","(mass conc.)","(wet)","Total-HpCDD (wet) (mass conc.)",1,"37871-00-4",1
"pg/g wet","B147","Total-PeCDF","1101","(mass conc.)","(wet)","Total-PeCDF (wet) (mass conc.)",1,"30402-15-4",1
"pg/g wet","B055","1,2,3,4,6,7,8-HpCDD","1101","(mass conc.)","(wet)","1,2,3,4,6,7,8-HpCDD (wet) (mass conc.)",1,"35822-46-9",1
"pg/g wet","B113","2,3,7,8-TCDF","1101","(mass conc.)","(wet)","2,3,7,8-TCDF (wet) (mass conc.)",1,"51207-31-9",1
"pg/g wet","B084","1,2,3,7,8-PeCDF","1101","(mass conc.)","(wet)","1,2,3,7,8-PeCDF (wet) (mass conc.)",1,"57117-41-6",1
"pg/g wet","B151","Total-TCDD","1101","(mass conc.)","(wet)","Total-TCDD (wet) (mass conc.)",1,"41903-57-5",1
"pg/g wet","B075","1,2,3,7,8,9-HxCDD","1101","(mass conc.)","(wet)","1,2,3,7,8,9-HxCDD (wet) (mass conc.)",1,"19408-74-3",1
"pg/g wet","B054","1,2,3,4,6,7,8-HpCDD","1101","(mass conc.)","(wet)","1,2,3,4,6,7,8-HpCDD (wet) (mass conc.)",1,"35822-46-9",1
"pg/g wet","B142","Total-HxCDF","1101","(mass conc.)","(wet)","Total-HxCDF (wet) (mass conc.)",1,"55684-94-1",1
"pg/g wet","B069","1,2,3,6,7,8-HxCDD","1101","(mass conc.)","(wet)","1,2,3,6,7,8-HxCDD (wet) (mass conc.)",1,"57653-85-7",1
"pg/g wet","B154","Total-TCDF","1101","(mass conc.)","(wet)","Total-TCDF (wet) (mass conc.)",1,"55722-27-5",1
"pg/g wet","B118","OCDD","1101","(mass conc.)","(wet)","OCDD (wet) (mass conc.)",1,"3268-87-9",1
"pg/g wet","B079","1,2,3,7,8,9-HxCDF","1101","(mass conc.)","(wet)","1,2,3,7,8,9-HxCDF (wet) (mass conc.)",1,"72918-21-9",1
"pg/g wet","B082","1,2,3,7,8-PeCDD","1101","(mass conc.)","(wet)","1,2,3,7,8-PeCDD (wet) (mass conc.)",1,"40321-76-4",1
"pg/g wet","B121","OCDF","1101","(mass conc.)","(wet)","OCDF (wet) (mass conc.)",1,"39001-02-0",1
"pg/g wet","B144","Total-PeCDD","1101","(mass conc.)","(wet)","Total-PeCDD (wet) (mass conc.)",1,"36088-22-9",1
"pg/g wet","B066","1,2,3,4,7,8-HxCDF","1101","(mass conc.)","(wet)","1,2,3,4,7,8-HxCDF (wet) (mass conc.)",1,"70648-26-9",1
"pg/g wet","B078","1,2,3,7,8,9-HxCDF","1101","(mass conc.)","(wet)","1,2,3,7,8,9-HxCDF (wet) (mass conc.)",1,"72918-21-9",1
"pg/g wet","B073","1,2,3,6,7,8-HxCDF","1101","(mass conc.)","(wet)","1,2,3,6,7,8-HxCDF (wet) (mass conc.)",1,"57117-44-9",1
"pg/g wet","B076","1,2,3,7,8,9-HxCDD","1101","(mass conc.)","(wet)","1,2,3,7,8,9-HxCDD (wet) (mass conc.)",1,"19408-74-3",1
"pg/g wet","B085","1,2,3,7,8-PeCDF","1101","(mass conc.)","(wet)","1,2,3,7,8-PeCDF (wet) (mass conc.)",1,"57117-41-6",1
"pg/g wet","B057","1,2,3,4,6,7,8-HpCDF","1101","(mass conc.)","(wet)","1,2,3,4,6,7,8-HpCDF (wet) (mass conc.)",1,"67562-39-4",1
"pg/L","B058","1,2,3,4,6,7,8-HpCDF","E1613B","(fl. conc.)","","1,2,3,4,6,7,8-HpCDF (fl. conc.)",1,"67562-39-4",1
"pg/L","B150","Total-TCDD","E1613B","(fl. conc.)","","Total-TCDD (fl. conc.)",1,"41903-57-5",1
"pg/L","B145","Total-PeCDD","E1613B","(fl. conc.)","","Total-PeCDD (fl. conc.)",1,"36088-22-9",1
"pg/L","B139","Total-HxCDD","E1613B","(fl. conc.)","","Total-HxCDD (fl. conc.)",1,"34465-46-8",1
"pg/L","B066","1,2,3,4,7,8-HxCDF","E1613B","(fl. conc.)","","1,2,3,4,7,8-HxCDF (fl. conc.)",1,"70648-26-9",1
"pg/L","B069","1,2,3,6,7,8-HxCDD","E1613B","(fl. conc.)","","1,2,3,6,7,8-HxCDD (fl. conc.)",1,"57653-85-7",1
"pg/L","B082","1,2,3,7,8-PeCDD","E1613B","(fl. conc.)","","1,2,3,7,8-PeCDD (fl. conc.)",1,"40321-76-4",1
"pg/L","B118","OCDD","E1613B","(fl. conc.)","","OCDD (fl. conc.)",1,"3268-87-9",1
"pg/L","B070","1,2,3,6,7,8-HxCDD","E1613B","(fl. conc.)","","1,2,3,6,7,8-HxCDD (fl. conc.)",1,"57653-85-7",1
"pg/L","B063","1,2,3,4,7,8-HxCDD","E1613B","(fl. conc.)","","1,2,3,4,7,8-HxCDD (fl. conc.)",1,"39227-28-6",1
"pg/L","B144","Total-PeCDD","E1613B","(fl. conc.)","","Total-PeCDD (fl. conc.)",1,"36088-22-9",1
"pg/L","B112","2,3,7,8-TCDF","E1613B","(fl. conc.)","","2,3,7,8-TCDF (fl. conc.)",1,"51207-31-9",1
"pg/L","B121","OCDF","E1613B","(fl. conc.)","","OCDF (fl. conc.)",1,"39001-02-0",1
"pg/L","B067","1,2,3,4,7,8-HxCDF","E1613B","(fl. conc.)","","1,2,3,4,7,8-HxCDF (fl. conc.)",1,"70648-26-9",1
"pg/L","B133","Total-HpCDD","E1613B","(fl. conc.)","","Total-HpCDD (fl. conc.)",1,"37871-00-4",1
"pg/L","B079","1,2,3,7,8,9-HxCDF","E1613B","(fl. conc.)","","1,2,3,7,8,9-HxCDF (fl. conc.)",1,"72918-21-9",1
"pg/L","B107","2,3,4,7,8-PeCDF","E1613B","(fl. conc.)","","2,3,4,7,8-PeCDF (fl. conc.)",1,"57117-31-4",1
"pg/L","B103","2,3,4,6,7,8-HxCDF","E1613B","(fl. conc.)","","2,3,4,6,7,8-HxCDF (fl. conc.)",1,"60851-34-5",1
"pg/L","B054","1,2,3,4,6,7,8-HpCDD","E1613B","(fl. conc.)","","1,2,3,4,6,7,8-HpCDD (fl. conc.)",1,"35822-46-9",1
"pg/L","B084","1,2,3,7,8-PeCDF","E1613B","(fl. conc.)","","1,2,3,7,8-PeCDF (fl. conc.)",1,"57117-41-6",1
"pg/L","B055","1,2,3,4,6,7,8-HpCDD","E1613B","(fl. conc.)","","1,2,3,4,6,7,8-HpCDD (fl. conc.)",1,"35822-46-9",1
"pg/L","B132","Total-HpCDD","E1613B","(fl. conc.)","","Total-HpCDD (fl. conc.)",1,"37871-00-4",1
"pg/L","B153","Total-TCDF","E1613B","(fl. conc.)","","Total-TCDF (fl. conc.)",1,"55722-27-5",1
"pg/L","B122","OCDF","E1613B","(fl. conc.)","","OCDF (fl. conc.)",1,"39001-02-0",1
"pg/L","B151","Total-TCDD","E1613B","(fl. conc.)","","Total-TCDD (fl. conc.)",1,"41903-57-5",1
"pg/L","B154","Total-TCDF","E1613B","(fl. conc.)","","Total-TCDF (fl. conc.)",1,"55722-27-5",1
"pg/L","B085","1,2,3,7,8-PeCDF","E1613B","(fl. conc.)","","1,2,3,7,8-PeCDF (fl. conc.)",1,"57117-41-6",1
"pg/L","B075","1,2,3,7,8,9-HxCDD","E1613B","(fl. conc.)","","1,2,3,7,8,9-HxCDD (fl. conc.)",1,"19408-74-3",1
"pg/L","B106","2,3,4,7,8-PeCDF","E1613B","(fl. conc.)","","2,3,4,7,8-PeCDF (fl. conc.)",1,"57117-31-4",1
"pg/L","B113","2,3,7,8-TCDF","E1613B","(fl. conc.)","","2,3,7,8-TCDF (fl. conc.)",1,"51207-31-9",1
"pg/L","B057","1,2,3,4,6,7,8-HpCDF","E1613B","(fl. conc.)","","1,2,3,4,6,7,8-HpCDF (fl. conc.)",1,"67562-39-4",1
"pg/L","B060","1,2,3,4,7,8,9-HpCDF","E1613B","(fl. conc.)","","1,2,3,4,7,8,9-HpCDF (fl. conc.)",1,"55673-89-7",1
"pg/L","B064","1,2,3,4,7,8-HxCDD","E1613B","(fl. conc.)","","1,2,3,4,7,8-HxCDD (fl. conc.)",1,"39227-28-6",1
"pg/L","B119","OCDD","E1613B","(fl. conc.)","","OCDD (fl. conc.)",1,"3268-87-9",1
"pg/L","B147","Total-PeCDF","E1613B","(fl. conc.)","","Total-PeCDF (fl. conc.)",1,"30402-15-4",1
"pg/L","B073","1,2,3,6,7,8-HxCDF","E1613B","(fl. conc.)","","1,2,3,6,7,8-HxCDF (fl. conc.)",1,"57117-44-9",1
"pg/L","B076","1,2,3,7,8,9-HxCDD","E1613B","(fl. conc.)","","1,2,3,7,8,9-HxCDD (fl. conc.)",1,"19408-74-3",1
"pg/L","B135","Total-HpCDF","E1613B","(fl. conc.)","","Total-HpCDF (fl. conc.)",1,"38998-75-3",1
"pg/L","B141","Total-HxCDF","E1613B","(fl. conc.)","","Total-HxCDF (fl. conc.)",1,"55684-94-1",1
"pg/L","B110","2,3,7,8-TCDD","E1613B","(fl. conc.)","","2,3,7,8-TCDD (fl. conc.)",1,"1746-01-6",1
"pg/L","B081","1,2,3,7,8-PeCDD","E1613B","(fl. conc.)","","1,2,3,7,8-PeCDD (fl. conc.)",1,"40321-76-4",1
"pg/L","B072","1,2,3,6,7,8-HxCDF","E1613B","(fl. conc.)","","1,2,3,6,7,8-HxCDF (fl. conc.)",1,"57117-44-9",1
"pg/L","B104","2,3,4,6,7,8-HxCDF","E1613B","(fl. conc.)","","2,3,4,6,7,8-HxCDF (fl. conc.)",1,"60851-34-5",1
"pg/L","B078","1,2,3,7,8,9-HxCDF","E1613B","(fl. conc.)","","1,2,3,7,8,9-HxCDF (fl. conc.)",1,"72918-21-9",1
"pg/L","B109","2,3,7,8-TCDD","E1613B","(fl. conc.)","","2,3,7,8-TCDD (fl. conc.)",1,"1746-01-6",1
"pg/L","B138","Total-HxCDD","E1613B","(fl. conc.)","","Total-HxCDD (fl. conc.)",1,"34465-46-8",1
"pg/L","B148","Total-PeCDF","E1613B","(fl. conc.)","","Total-PeCDF (fl. conc.)",1,"30402-15-4",1
"pg/L","B142","Total-HxCDF","E1613B","(fl. conc.)","","Total-HxCDF (fl. conc.)",1,"55684-94-1",1
"pg/L","B136","Total-HpCDF","E1613B","(fl. conc.)","","Total-HpCDF (fl. conc.)",1,"38998-75-3",1
"pg/L","B061","1,2,3,4,7,8,9-HpCDF","E1613B","(fl. conc.)","","1,2,3,4,7,8,9-HpCDF (fl. conc.)",1,"55673-89-7",1
"pH units","PH-F","pH-Field","XM09","(acidity)","","pH-Field (acidity)",1,"",0
"ug/m3","PB-T","Lead Total","F113","(air conc.)","","Lead Total (air conc.)",1,"",0
"ug/m3","CU-T","Copper Total","F113","(air conc.)","","Copper Total (air conc.)",1,"7440-50-8",0
"ug/m3","CR-T","Chromium Total","F113","(air conc.)","","Chromium Total (air conc.)",1,"7440-47-3",0
"ug/m3","AS-T","Arsenic Total","F113","(air conc.)","","Arsenic Total (air conc.)",1,"7440-38-2",0
"ug/m3","CD-T","Cadmium Total","F113","(air conc.)","","Cadmium Total (air conc.)",1,"7440-43-9",0
