"permit_id","type","description"
6077,"Authorization","DISTRICT OF ELKFORD"
4148,"Authorization","THE CORPORATION OF THE CITY OF CRANBROOK"
15962,"Authorization","REGIONAL DISTRICT OF EAST KOOTENAY"
5467,"Authorization","FAIRMONT HOT SPRINGS RESORT LTD"
4113,"Authorization","GREENWOOD, CITY OF"
3566,"Authorization","KORPACK CEMENT PRODUCTS LIMITED"
1848,"Authorization","MOUNTAIN SHORES DEVELOPMENT CORP."
6168,"Authorization","BETHLEHEM RESOURCES (1996) CORPORATION"
3564,"Authorization","BLUE BIRD MINING LTD."
6656,"Authorization","NA"
80,"Authorization","THE CITY OF CASTLEGAR"
274,"Authorization","REGIONAL DISTRICT OF KOOTENAY BOUNDARY"
3986,"Authorization","MONTEM RESOURCES ALBERTA OPERATIONS LTD."
2691,"Authorization","TECK METALS LTD."
1807,"Authorization","TECK COAL LIMITED"
1808,"Authorization","PACIFIC ABRASIVES AND SUPPLY INC."
2258,"Authorization","WELCO MANAGEMENT SERVICES LTD."
3028,"Authorization","CANADIAN FOREST PRODUCTS LTD"
2443,"Authorization","NA"
1501,"Authorization","EVR OPERATIONS LIMITED"
4751,"Authorization","EVR OPERATIONS LIMITED"
6249,"Authorization","EVR OPERATIONS LIMITED"
2690,"Authorization","TECK METALS LTD."
2692,"Authorization","TECK METALS LTD."
2667,"Authorization","KORPACK CEMENT PRODUCTS LIMITED"
1987,"Authorization","ATCO LUMBER LTD."
1842,"Authorization","SPRINGER CREEK FOREST PRODUCTS LTD."
2149,"Authorization","DOMTAR INC. SKOOKUMCHUCK PULP"
138,"Authorization","SQUAMISH CORNERSTONE DEVELOPMENTS LTD. NEWPORT BEACH DEVELOPMENTS LIMITED PARTNERSHIP"
1841,"Authorization","THE CORPORATION OF THE TOWNSHIP OF LANGLEY"
1611,"Authorization","CITY OF VANCOUVER"
4246,"Authorization","A.B.C. RECYCLING LTD."
92,"Authorization","LILLOOET, VILLAGE OF"
39,"Authorization","CITY OF CHILLIWACK"
5692,"Authorization","NA"
3149,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
146,"Authorization","CITY OF PRINCE GEORGE"
1556,"Authorization","NEW HAZELTON, DISTRICT OF"
1505,"Authorization","GLENCORE CANADA CORPORATION"
1594,"Authorization","CITY OF TERRACE"
287,"Authorization","DISTRICT OF HOUSTON"
5809,"Authorization","TDG BC ASSETS CORP."
1608,"Authorization","GLENCORE CANADA CORPORATION"
1654,"Authorization","CITY OF PRINCE GEORGE"
192,"Authorization","VILLAGE OF FRASER LAKE"
296,"Authorization","DISTRICT OF VANDERHOOF"
1494,"Authorization","ALCAN PRIMARY METAL-BRITISH COLUMBIA,A SUBSIDIARY OF ALCAN I"
288,"Authorization","REGIONAL DISTRICT OF BULKLEY-NECHAKO"
239,"Authorization","DISTRICT OF FORT ST. JAMES"
4081,"Authorization","REGIONAL DISTRICT OF BULKLEY-NECHAKO"
4475,"Authorization","1516847 B.C. LTD."
6739,"Authorization","CONUMA MINING SERVICES LIMITED"
311,"Authorization","CITY OF DAWSON CREEK"
1379,"Authorization","NORTHRIVER MIDSTREAM OPERATIONS GP INC."
6501,"Authorization","TUMBLER RIDGE, DISTRICT OF"
6540,"Authorization","CONUMA MINING SERVICES LIMITED"
6757,"Authorization","BULLMOOSE OPERATING CORPORATION"
4454,"Authorization","CITY OF PRINCE RUPERT"
1650,"Authorization","KM LNG OPERATING LTD."
292,"Authorization","CHEVRON CANADA LIMITED"
4057,"Authorization","KITIMAT-STIKINE REGIONAL DISTRICT"
2552,"Authorization","ALCAN SMELTERS AND CHEMICALS LIMITED"
1543,"Authorization","CANADIAN FOREST PRODUCTS LTD. IN ITS ENGLISH FORM AND PRODUITS FORESTIERS DU CANADA LTEE IN ITS FRENCH FORM"
2762,"Authorization","CANFOR PULP LTD."
173,"Authorization","LUMBY, VILLAGE OF"
7894,"Authorization","CANDORADO MINES LTD."
263,"Authorization","GLENCORE CANADA CORPORATION"
5043,"Authorization","NA"
15578,"Authorization","REGIONAL DISTRICT OKANAGAN SIMILKAMEEN"
5224,"Authorization","BCG, RECREATION AND CONS"
203,"Authorization","ENDERBY, CITY OF"
261,"Authorization","COPPER MOUNTAIN MINE (BC) LTD."
369,"Authorization","COPPER MOUNTAIN MINE (BC) LTD."
268,"Authorization","OKANAGAN BIOFUELS INC"
382,"Authorization","NA"
267,"Authorization","OKANAGAN BIOFUELS INC"
2490,"Authorization","WESTBANK PACKERS LIMITED"
5669,"Authorization","NA"
2019,"Authorization","PARAGON INDUSTRIES LTD."
1916,"Authorization","GREENWOOD FOREST PRODUCTS LTD."
1460,"Authorization","NA"
1585,"Authorization","FRESHWATER FISHERIES SOCIETY OF BC"
86,"Authorization","NA"
12214,"Authorization","TOWN OF OSOYOOS"
6158,"Authorization","THE QUINTO MINING CORPORATION"
2236,"Authorization","MISSION BOTTLE WASHING CO LTD"
3471,"Authorization","NA"
13627,"Authorization","SUMMERLAND, DISTRICT OF"
3186,"Authorization","O-I CANADA CORP"
1847,"Authorization","WEYERHAUSER COMPANY LTD"
2011,"Authorization","TOLKO INDUSTRIES LTD."
2002,"Authorization","NA"
12215,"Authorization","VERNON, CITY OF"
2717,"Authorization","TOLKO INDUSTRIES LTD."
4542,"Authorization","TOLKO INDUSTRIES LTD."
2082,"Authorization","TOLKO INDUSTRIES LTD."
5928,"Authorization","KEREMEOS, VILLAGE OF"
1236,"Authorization","PRINCETON, TOWN OF"
1846,"Authorization","1539998 B.C. LTD."
4436,"Authorization","NARAMATA CENTRE SOCIETY"
444,"Authorization","TECK RESOURCES LIMITED"
6738,"Authorization","SILVERHAWK UTILITIES INC."
1629,"Authorization","NA"
3871,"Authorization","BIG WHITE WASTEWATER UTILITY LTD."
3013,"Authorization","KELOWNA ELECTROPLATING LTD."
11478,"Authorization","HULDRA PROPERTIES INC."
416,"Authorization","GIBRALTAR MINES LTD."
5553,"Authorization","BARKERVILLE GOLD MINES LTD."
1678,"Authorization","CARIBOO PULP AND PAPER COMPANY"
3904,"Authorization","KGHM AJAX MINING INC."
433,"Authorization","DISTRICT OF LOGAN LAKE"
3277,"Authorization","CARIBOO REGIONAL DISTRICT"
112488,"Authorization","VILLAGE OF CHASE"
100224,"Authorization","NEW GOLD INC."
3132,"Authorization","QUESNEL, CITY OF"
376,"Authorization","TECK HIGHLAND VALLEY COPPER CORPORATION"
1548,"Authorization","WEST FRASER MILLS LTD."
1764,"Authorization","WEST FRASER MILLS LTD. DBA WILLIAMS LAKE PLYWOOD"
2484,"Authorization","TOLKO INDUSTRIES LTD."
3446,"Authorization","INTERFOR CORPORATION"
5577,"Authorization","CITY OF PRINCE RUPERT"
1307,"Authorization","THOMPSON CREEK METALS COMPANY INC."
2527,"Authorization","ALCAN SMELTERS AND CHEMICALS LIMITED"
5851,"Authorization","NA"
4977,"Authorization","CARIBOO REGIONAL DISTRICT"
1152,"Authorization","WEST FRASER MILLS LTD. CARIBOO PULP & PAPER COMPANY"
114,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
120,"Authorization","TOWN OF LADYSMITH"
266,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
297,"Authorization","CITY OF PORT ALBERNI"
338,"Authorization","REGIONAL DISTRICT OF NANAIMO"
111248,"Authorization","NA"
1214,"Authorization","NANAIMO FOREST PRODUCTS LTD."
1790,"Authorization","NA"
4200,"Authorization","NANAIMO REGIONAL DISTRICT"
1622,"Authorization","W. CANADIAN UNIV. MARINE BIOLOGICAL SOC."
3301,"Authorization","NA"
4226,"Authorization","BCIMC REALTY CORPORATION"
4429,"Authorization","HFN LANDS CORPORATION"
5435,"Authorization","INN OF THE SEA RESORTS 1988 LTD."
5727,"Authorization","WESTERN FOREST PRODUCTS INC."
1871,"Authorization","NA"
3760,"Authorization","NEUCEL SPECIALTY CELLULOSE LTD."
379,"Authorization","BHP BILLITON CANADA INC."
385,"Authorization","DISTRICT OF PORT HARDY"
1240,"Authorization","NEUCEL SPECIALTY CELLULOSE LTD."
4168,"Authorization","DISTRICT OF PORT HARDY"
105299,"Authorization","DISTRICT OF PORT HARDY"
136,"Authorization","NA"
247,"Authorization","TOWN OF LAKE COWICHAN"
270,"Authorization","CAPITAL REGIONAL DISTRICT"
108831,"Authorization","CAPITAL REGIONAL DISTRICT"
1497,"Authorization","DUNCAN-NORTH COWICHAN JOINT UTILITIES BOARD"
1538,"Authorization","NA"
1877,"Authorization","CAPITAL REGIONAL DISTRICT"
5521,"Authorization","CAPITAL REGIONAL DISTRICT"
103,"Authorization","NA"
242,"Authorization","CAPITAL REGIONAL DISTRICT"
312,"Authorization","CAPITAL REGIONAL DISTRICT"
1640,"Authorization","BRENTWOOD COLLEGE ASSOCIATION"
1693,"Authorization","CAPITAL REGIONAL DISTRICT"
3893,"Authorization","COWICHAN VALLEY REGIONAL DISTRICT"
103748,"Authorization","COWICHAN VALLEY REGIONAL DISTRICT"
4095,"Authorization","NA"
4772,"Authorization","SCHOOL DISTRICT NUMBER 62 SOOKE - BELMONT SCHOOL"
4776,"Authorization","DISTRICT OF METCHOSIN"
4995,"Authorization","BURNUM MHP INC. BURNUM MHP INVESTMENTS LIMITED PARTNERSHIP"
5840,"Authorization","NA"
6644,"Authorization","COWICHAN VALLEY REGIONAL DISTRICT"
318,"Authorization","NA"
17425,"Authorization","WEST COAST MARINE TERMINALS LTD."
321,"Authorization","VILLAGE OF TAHSIS"
1164,"Authorization","NTE DISCOVERY PARK LTD."
101,"Authorization","VILLAGE OF SAYWARD"
197,"Authorization","THE CORPORATION OF THE VILLAGE OF CUMBERLAND"
360,"Authorization","NA"
3601,"Authorization","VILLAGE OF TAHSIS"
3815,"Authorization","NA"
116,"Authorization","HARRISON HOT SPRINGS, THE CORP. OF THE VILLAGE OF"
137,"Authorization","THE CORPORATION OF THE DISTRICT OF KENT"
2334,"Authorization","WOODFIBRE LNG GENERAL PARTNER INC."
3950,"Authorization","NA"
4088,"Authorization","SECHELT, CORPORATION OF THE DISTRICT OF"
106667,"Authorization","DISTRICT OF SECHELT"
4339,"Authorization","GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT"
6276,"Authorization","NA"
27,"Authorization","HIS MAJESTY THE KING IN RIGHT OF THE PROVINCE OF BRITISH COLUMBIA, AS REPRESENTED BY THE MINISTER OF ENVIRONMENT AND CLIMATE CHANGE STRATEGY"
183,"Authorization","MINISTRY OF LABOUR AND CITIZENS' SERVICES"
375,"Authorization","SUNSHINE COAST REGIONAL DISTRICT"
392,"Authorization","HELL'S GATE AIRTRAM INC."
1558,"Authorization","BEDWELL BAY CONSTRUCTION LIMITED"
2352,"Authorization","NA"
2988,"Authorization","HIS MAJESTY THE KING IN RIGHT OF THE PROVINCE OF BRITISH COLUMBIA, AS REPRESENTED BY THE MINISTER OF ENVIRONMENT"
4183,"Authorization","SUNSHINE COAST REGIONAL DISTRICT"
4186,"Authorization","THE OWNERS STRATA PLAN VR270"
5450,"Authorization","SUNSHINE COAST REGIONAL DISTRICT"
5743,"Authorization","STILL POINT PROPERTIES LTD. ROCKWATER SECRET COVE RESORT"
6286,"Authorization","THE OWNERS STRATA PLAN NW-2245"
6375,"Authorization","NA"
6394,"Authorization","PAT8 HOLDINGS LTD."
6490,"Authorization","BOYS AND GIRLS CLUB OF GREATER VANCOUVER"
6533,"Authorization","BACKEDDY MARINE LTD."
6657,"Authorization","BLUEBIRD INVESTMENTS INC."
351,"Authorization","CITY OF ABBOTSFORD"
363,"Authorization","TOWN OF GIBSONS"
4125,"Authorization","DISTRICT OF HOPE"
4769,"Authorization","SUNSHINE COAST REGIONAL DISTRICT"
2,"Authorization","NA"
328,"Authorization","NA"
3804,"Authorization","SUNNY TRAILS CLUB"
4430,"Authorization","NA"
4806,"Authorization","COUNTRYSIDE VILLAGE VENTURES LTD."
4924,"Authorization","NA"
5112,"Authorization","379852 B.C.LTD."
23,"Authorization","GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT"
30,"Authorization","GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT"
73,"Authorization","CITY OF POWELL RIVER"
112094,"Authorization","POWELL RIVER, CITY OF"
118,"Authorization","CITY OF POWELL RIVER"
171,"Authorization","CITY OF POWELL RIVER"
233,"Authorization","GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT"
387,"Authorization","GREATER VANCOUVER SEWERAGE AND DRAINAGE DISTRICT"
1452,"Authorization","WHISTLER, RESORT MUNICIPALITY OF"
1512,"Authorization","DISTRICT OF SQUAMISH"
1533,"Authorization","NA"
4094,"Authorization","NA"
4237,"Authorization","HEMLOCK UTILITY SERVICES LTD."
6412,"Authorization","THE OWNERS, STRATA PLAN NO. VR 1290 (BLACK TUSK STRATA CORPO"
436,"Authorization","SUNSHINE VALLEY RECREATION INC. MANNING PARK RESORT"
2095,"Authorization","SCHOOL DISTRICT NO. 35 LANGLEY"
2583,"Authorization","BRITISH COLUMBIA FERRY SERVICES INC."
3357,"Authorization","BRITISH COLUMBIA FERRY CORPORATION"
3801,"Authorization","WHITGIFT HOLDINGS LTD."
4219,"Authorization","FRASER VALLEY REGIONAL DISTRICT"
4370,"Authorization","NA"
4477,"Authorization","WEST VANCOUVER, THE CORPORATION OF THE DISTRICT OF"
4481,"Authorization","NA"
4521,"Authorization","SQUAMISH-LILLOOET REGIONAL DISTRICT"
4550,"Authorization","BAYOU DEVELOPMENTS LTD."
4645,"Authorization","NORCO DEVELOPMENT LTD., FERNCO DEVELOPMENT LTD., AND LENCO DEVELOPMENT LTD. DOING BUSINESS UNDER THE FIRM NAME AND STYLE OF NOORT DEVELOPMENTS"
5188,"Authorization","LIONS BAY, THE MUNICIPALITY OF THE VILLAGE OF"
5431,"Authorization","OTTER FARM AND HOME CO-OPERATIVE"
5987,"Authorization","SATNAM EDUCATION SOCIETY OF BRITISH COLUMBIA"
6266,"Authorization","CORIX MULTI-UTILITY SERVICES INC."
17,"Authorization","8360 WIGGINS HOLDINGS INC."
106328,"Authorization","NEW CAROLIN GOLD CORP."
1149,"Authorization","HOWE SOUND PULP & PAPER CORPORATION"
2756,"Authorization","INTERFOR CORPORATION"
161,"Authorization","BEKAERT CANADA LTD."
1830,"Authorization","NA"
4513,"Authorization","LEHIGH NORTHWEST CEMENT LIMITED"
6819,"Authorization","WESTSHORE TERMINALS LIMITED PARTNERSHIP"
6837,"Authorization","JUSTICE INSTITUTE OF BRITISH COLUMBIA"
412,"Authorization","NA"
445,"Authorization","IMPERIAL OIL LIMITED"
1684,"Authorization","NA"
1700,"Authorization","NA"
2087,"Authorization","WESTERN STEEL LIMITED"
2140,"Authorization","NA"
2234,"Authorization","NA"
3190,"Authorization","TREE ISLAND INDUSTRIES LTD."
4970,"Authorization","PARKLAND REFINING (B.C.) LTD."
6816,"Authorization","NA"
1698,"Authorization","CHEMTRADE ELECTROCHEM INC."
2439,"Authorization","LAFARGE CONCRETE A DIVISION OF LAFARGE CANADA INC."
6271,"Authorization","NA"
3138,"Authorization","SHELL CANADA PRODUCTS LIMITED"
2757,"Authorization","NA"
1647,"Authorization","NA"
365,"Authorization","LAFARGE CANADA INC."
91,"Authorization","THE CORPORATION OF THE VILLAGE OF LYTTON"
264,"Authorization","VILLAGE OF CACHE CREEK"
100256,"Authorization","VILLAGE OF CACHE CREEK"
420,"Authorization","VILLAGE OF ASHCROFT"
115,"Authorization","MERRITT, CITY OF"
399,"Authorization","CITY OF KAMLOOPS"
111009,"Authorization","CITY OF KAMLOOPS"
4008,"Authorization","THE CITY OF CASTLEGAR"
141,"Authorization","SELKIRK COLLEGE"
1800,"Authorization","FORTISBC INC"
3080,"Authorization","MERCER CELGAR PULP LTD. MERCER CELGAR LIMITED PARTNERSHIP"
1596,"Authorization","PEAK INDUSTRIES (CRANBROOK) LTD."
3722,"Authorization","NA"
188,"Authorization","DOMTAR INC. SKOOKUMCHUCK PULP"
5352,"Authorization","EVR OPERATIONS LIMITED"
17595,"Authorization","TOWN OF GOLDEN"
308,"Authorization","VILLAGE OF CANAL FLATS"
6037,"Authorization","NA"
17139,"Authorization","RESORTS OF THE CANADIAN ROCKIES INC."
189,"Authorization","TECK METALS LTD."
107104,"Authorization","TECK COAL LIMITED"
2147,"Authorization","THE CITY OF REVELSTOKE"
111551,"Authorization","NA"
6034,"Authorization","SLOCAN COMMUNITY HOSPITAL"
250,"Authorization","QUEEN VICTORIA HOSPITAL"
14388,"Authorization","NA"
2783,"Authorization","IMASCO MINERALS INC."
3439,"Authorization","XSTRATA CANADA CORPORATION"
1578,"Authorization","WEST FRASER MILLS LTD. CARIBOO PULP & PAPER COMPANY"
5803,"Authorization","MILLAR WESTERN FOREST PRODUCTS LTD.  QUESNEL RIVER PULP DIVISION"
3725,"Authorization","WEST FRASER MILLS LTD.  QUESNEL PLYWOOD"
255,"Authorization","WILLIAMS LAKE, CITY OF"
4337,"Authorization","DISTRICT OF WELLS"
5416,"Authorization","CARIBOO REGIONAL DISTRICT"
6298,"Authorization","HIS MAJESTY THE KING IN THE RIGHT OF THE PROVINCE OF BRITISH COLUMBIA AS REPRESENTED BY THE MINISTER OF FORESTS LANDS AND NATURAL RESOURCE OPERATIONS"
3083,"Authorization","KM LNG OPERATING GENERAL PARTNERSHIP"
256,"Authorization","KITIMAT, DISTRICT OF"
1157,"Authorization","CITY OF PRINCE RUPERT"
110496,"Authorization","CITY OF PRINCE RUPERT"
100138,"Authorization","RIO TINTO ALCAN INC."
1862,"Authorization","JIM PATTISON ENTERPRISES LTD. DBA CANADIAN FISHING COMPANY"
2498,"Authorization","J. S. MCMILLAN FISHERIES LTD."
6006,"Authorization","LNG CANADA DEVELOPMENT INC."
5275,"Authorization","NORTHERN MOTOR INN LTD."
343,"Authorization","STEWART, DISTRICT OF"
373,"Authorization","SMITHERS, TOWN OF"
303,"Authorization","NA"
1829,"Authorization","OMEGA PACKING COMPANY LIMITED"
4864,"Authorization","PORT CLEMENTS, VILLAGE OF"
5744,"Authorization","KITSAULT RESORT LTD"
1507,"Authorization","VILLAGE OF GRANISLE"
446,"Authorization","Jody Cooper - DBA COOPDOGG'S FISHING LODGE COOPDOGG'S FISHING LODGE"
403,"Authorization","BURNS LAKE, THE CORPORATION OF THE VILLAGE OF"
6691,"Authorization","WESTCOAST ENERGY INC."
1644,"Authorization","MACKENZIE PULP MILL CORPORATION"
1174,"Authorization","CONIFEX POWER INC."
389,"Authorization","NA"
17748,"Authorization","CITY OF FORT ST. JOHN"
100001,"Authorization","CITY OF FORT ST. JOHN"
426,"Authorization","POUCE COUPE, THE CORPORATION OF THE VILLAGE OF"
1167,"Authorization","DISTRICT OF CHETWYND"
1503,"Authorization","NORTHERN ROCKIES REGIONAL MUNICIPALITY"
411,"Authorization","DISTRICT OF HUDSON'S HOPE"
110483,"Authorization","DISTRICT OF HUDSON'S HOPE"
157,"Authorization","CANFOR PULP LTD."
327,"Authorization","MACKENZIE, DISTRICT OF"
364,"Authorization","0950685 B.C. LTD."
3868,"Authorization","CITY OF PRINCE GEORGE"
4905,"Authorization","CITY OF PRINCE GEORGE"
5132,"Authorization","CITY OF PRINCE GEORGE"
5955,"Authorization","VILLAGE OF VALEMOUNT"
100096,"Authorization","VILLAGE OF VALEMOUNT"
2246,"Authorization","MINISTRY OF LABOUR AND CITIZENS' SERVICES"
402,"Authorization","MCBRIDE, VILLAGE OF"
106377,"Authorization","THE CORPORATION OF THE VILLAGE OF MCBRIDE"
2572,"Authorization","ROY WILLICK LOGGING LIMITED"
201,"Authorization","HUSKY OIL OPERATIONS LTD."
3900,"Authorization","CANFOR PULP LTD."
1434,"Authorization","KELOWNA, CITY OF"
11652,"Authorization","REGIONAL DISTRICT OF CENTRAL OKANAGAN"
12211,"Authorization","KELOWNA, CITY OF"
510,"Authorization","NA"
12218,"Authorization","CITY OF KELOWNA"
6113,"Authorization","1782 HOLDINGS LTD."
12212,"Authorization","THE CORPORATION OF THE CITY OF PENTICTION"
169,"Authorization","NA"
5125,"Authorization","NA"
6017,"Authorization","APEX MOUNTAIN RESORT (1997) LTD."
5244,"Authorization","BCG, ENVIRONMENT"
4697,"Authorization","NORTH ENDERBY TIMBER LTD."
2043,"Authorization","DISTRICT OF MISSION"
1386,"Authorization","PKM CANADA TERMINALS GP ULC PKM CANADA MARINE TERMINAL LIMITED PARTNERSHIP"
4156,"Authorization","LAWRENCE MEAT PACKING CO. LTD."
5000,"Authorization","CANFOR PULP LTD."
3423,"Authorization","TECK METALS LTD."
4802,"Authorization","NA"
17372,"Authorization","REGIONAL DISTRICT OF EAST KOOTENAY"
1527,"Authorization","TERRAVISTA SERVICES LTD TERRAVISTA STRATA CORP. NES9"
7540,"Authorization","NA"
8058,"Authorization","NA"
7542,"Authorization","AINSWORTH HOTSPRINGS LTD. AINSWORTH HOT SPRINGS RESORT"
315,"Authorization","NA"
1768,"Authorization","MERCER CELGAR PULP LTD. A GENERAL PARTNER OF MERCER CELGAR LIMITED PARTNERSHIP"
7378,"Authorization","NO. 75 CORPORATE VENTURES LTD."
7304,"Authorization","THE OWNERS, STRATA PLAN KAS 314"
4585,"Authorization","NA"
8310,"Authorization","TECK METALS LTD."
7046,"Authorization","TOLKO INDUSTRIES LTD."
7613,"Authorization","BARRICK GOLD INC."
7295,"Authorization","IDLE-O-APARTMENTS INC."
1894,"Authorization","LAFARGE CANADA INC."
1735,"Authorization","TOWN OF QUALICUM BEACH"
5751,"Authorization","SUNSHINE COAST CAMPGROUND GROUP LTD. CREEKSIDE CAMPGROUND AND RV PARK"
7193,"Authorization","NA"
6699,"Authorization","RIDLEY TERMINALS INC."
3010,"Authorization","TERRACE LUMBER COMPANY LTD."
410,"Authorization","WESTCOAST ENERGY INC."
7300,"Authorization","TLH HELISKIING LTD."
3094,"Authorization","NA"
17577,"Authorization","DISTRICT OF INVERMERE"
7748,"Authorization","TC PROPERTY INC."
7531,"Authorization","MOUNT LAYTON HOTSPRINGS RESORT LIMITED"
2809,"Authorization","CITY OF TERRACE"
2122,"Authorization","GORMAN BROS. LUMBER LTD."
7772,"Authorization","BUFFALO RAIL & INFRASTRUCTURE GP CORP"
8415,"Authorization","SNIPGOLD CORP."
11244,"Authorization","FJM BUTZE BAY GP LTD."
1475,"Authorization","REGIONAL DISTRICT OF EAST KOOTENAY"
13253,"Authorization","FRESHWATER FISHERIES SOCIETY OF BC"
7422,"Authorization","DEPARTMENT OF FISHERIES AND OCEANS"
7337,"Authorization","COEUR SILVERTIP HOLDINGS LTD."
11678,"Authorization","MOUNT POLLEY MINING CORPORATION"
8147,"Authorization","FIRST QUANTUM MINERALS LTD."
8107,"Authorization","KBM VENTURES LTD."
8031,"Authorization","BC PARKS"
6033,"Authorization","YUKON PROPCO GP CORPORATION COMPASS COMMUNITIES"
8096,"Authorization","SUMAS ENVIRONMENTAL SERVICES INC."
5779,"Authorization","SUNSHINE COAST REGIONAL DISTRICT"
7509,"Authorization","BC PARKS"
5400,"Authorization","BELLA COOLA FISHERIES LTD."
7944,"Authorization","CANADA PLACE CORPORATION"
3410,"Authorization","STELLA-JONES INC."
2569,"Authorization","ALLARD CONTRACTORS LTD."
1668,"Authorization","LANTIC INC."
335,"Authorization","PRODUITS KRUGER INC. KRUGER PRODUCTS INC."
22,"Authorization","SUNCOR ENERGY PRODUCTS INC. SUNCOR ENERGY PRODUCTS PARTNERSHIP"
18,"Authorization","CHEMTRADE ELECTROCHEM INC."
7555,"Authorization","NORTH DELTA SEAFOODS LTD."
7010,"Authorization","SWANSON'S READY-MIX LTD."
2434,"Authorization","SWANSON'S READY-MIX LTD."
7660,"Authorization","SCANMAR SEAFOOD LIMITED"
2976,"Authorization","CON-FORCE STRUCTURES LIMITED"
15488,"Authorization","SUNSHINE COAST SALMONID ENHANCEMENT SOCIETY"
1133,"Authorization","CHEMTRADE CHEMICALS CANADA LTD."
4960,"Authorization","NA"
3139,"Authorization","LIONS' GATE FISHERIES LIMITED"
3533,"Authorization","NA"
3969,"Authorization","B.A. BLACKTOP LIMITED"
395,"Authorization","ERCO WORLDWIDE LP, BY ITS GENERAL PARTNER, ERCO LTD."
3862,"Authorization","RITCHIE-SMITH FEEDS INC."
5748,"Authorization","REVOLUTION ORS ACQUISITION GP INC. TERRAPURE ENVIRONMENTAL"
8511,"Authorization","GFL ENVIRONMENTAL SERVICES INC."
7709,"Authorization","688147 B.C. LTD."
8099,"Authorization","Brad Gustafson - DBA"
4565,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
6898,"Authorization","NEPTUNE BULK TERMINALS CANADA LTD."
153,"Authorization","DOMTAR INC. AND 13536637 CANADA INC. CATALYST PAPER GENERAL PARTNERSHIP"
8172,"Authorization","LYLE FOREST PRODUCTS LTD."
4431,"Authorization","TROUW NUTRITION CANADA INC."
