"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Molybdenum Total (fl. conc.)","Metals - Total; EMS code: MO-T","7439-98-7","Concentration","mg/L",TRUE,"MO-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Zinc Dissolved (fl. conc.)","Metals - Dissolved; EMS code: ZN-D","7440-66-6","Concentration","mg/L",TRUE,"ZN-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Nickel Dissolved (fl. conc.)","Metals - Dissolved; EMS code: NI-D","7440-02-0","Concentration","mg/L",TRUE,"NI-D","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Calcium Total (fl. conc.)","Metals - Total; EMS code: CA-T","7440-70-2","Concentration","mg/L",TRUE,"CA-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0020","HNO3 Dig:AA Analysis","HNO3 Dig: AA Analysis","EMS Migration"
"Cadmium Total (mass conc.)","Metals - Total; EMS code: CD-T","7440-43-9","MassPerMass","mg/kg",TRUE,"CD-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Nickel Total (mass conc.)","Metals - Total; EMS code: NI-T","7440-02-0","MassPerMass","mg/kg",TRUE,"NI-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Cobalt Total (mass conc.)","Metals - Total; EMS code: CO-T","7440-48-4","MassPerMass","mg/kg",TRUE,"CO-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Selenium Total (mass conc.)","Metals - Total; EMS code: SE-T","7782-49-2","MassPerMass","mg/kg",TRUE,"SE-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Zinc Total (mass conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","MassPerMass","mg/kg",TRUE,"ZN-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Lead Total (mass conc.)","Metals - Total; EMS code: PB-T",NA,"MassPerMass","mg/kg",TRUE,"PB-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Chromium Total (mass conc.)","Metals - Total; EMS code: CR-T","7440-47-3","MassPerMass","mg/kg",TRUE,"CR-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Phosphorus Total (mass conc.)","Nutrients; EMS code: P--T","7723-14-0","MassPerMass","mg/kg",TRUE,"P--T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Molybdenum Total (mass conc.)","Metals - Total; EMS code: MO-T","7439-98-7","MassPerMass","mg/kg",TRUE,"MO-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Arsenic Total (mass conc.)","Metals - Total; EMS code: AS-T","7440-38-2","MassPerMass","mg/kg",TRUE,"AS-T","CHEMICAL","NUMERIC","0031","ICP","ICP","EMS Migration"
"Titanium Total (fl. conc.)","Metals - Total; EMS code: TI-T","7440-32-6","Concentration","mg/L",TRUE,"TI-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Bismuth Total (fl. conc.)","Metals - Total; EMS code: BI-T","7440-69-9","Concentration","mg/L",TRUE,"BI-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Zirconium Total (fl. conc.)","Metals - Total; EMS code: ZR-T","7440-67-7","Concentration","mg/L",TRUE,"ZR-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Magnesium Total (fl. conc.)","Metals - Total; EMS code: MG-T","7439-95-4","Concentration","mg/L",TRUE,"MG-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Strontium Total (fl. conc.)","Metals - Total; EMS code: SR-T","7440-24-6","Concentration","mg/L",TRUE,"SR-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Molybdenum Total (fl. conc.)","Metals - Total; EMS code: MO-T","7439-98-7","Concentration","mg/L",TRUE,"MO-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Vanadium Total (fl. conc.)","Metals - Total; EMS code: V--T","7440-62-2","Concentration","mg/L",TRUE,"V--T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Sodium Total (fl. conc.)","Metals - Total; EMS code: NA-T","7440-23-5","Concentration","mg/L",TRUE,"NA-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Magnesium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MG-D","7439-95-4","Concentration","mg/L",TRUE,"MG-D","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Manganese Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MN-D","7439-96-5","Concentration","mg/L",TRUE,"MN-D","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Phosphorus Total (fl. conc.)","Nutrients; EMS code: P--T","7723-14-0","Concentration","mg/L",TRUE,"P--T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Tin Total (fl. conc.)","Metals - Total; EMS code: SN-T","7440-31-5","Concentration","mg/L",TRUE,"SN-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Barium Total (fl. conc.)","Metals - Total; EMS code: BA-T","7440-39-3","Concentration","mg/L",TRUE,"BA-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Chromium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CR-D","7440-47-3","Concentration","mg/L",TRUE,"CR-D","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Cobalt Total (fl. conc.)","Metals - Total; EMS code: CO-T","7440-48-4","Concentration","mg/L",TRUE,"CO-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Silicon Total (fl. conc.)","Metals - Total; EMS code: SI-T","7440-21-3","Concentration","mg/L",TRUE,"SI-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Silver Total (fl. conc.)","Metals - Total; EMS code: AG-T","7440-22-4","Concentration","mg/L",TRUE,"AG-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Sulfur Total (fl. conc.)","EMS code: S--T","7704-34-9","Concentration","mg/L",TRUE,"S--T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Beryllium Total (fl. conc.)","Metals - Total; EMS code: BE-T","7440-41-7","Concentration","mg/L",TRUE,"BE-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Calcium Total (fl. conc.)","Metals - Total; EMS code: CA-T","7440-70-2","Concentration","mg/L",TRUE,"CA-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Tellurium Total (fl. conc.)","Metals - Total; EMS code: TE-T","13494-80-9","Concentration","mg/L",TRUE,"TE-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Thallium Total (fl. conc.)","Metals - Total; EMS code: TL-T","7440-28-0","Concentration","mg/L",TRUE,"TL-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Potassium Total (fl. conc.)","Metals - Total; EMS code: K--T",NA,"Concentration","mg/L",TRUE,"K--T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Strontium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SR-D","7440-24-6","Concentration","mg/L",TRUE,"SR-D","CHEMICAL","NUMERIC","0040","HNO3 Dig: ICP Analysis","HNO3 Dig: ICP Analysis","EMS Migration"
"Titanium Total (fl. conc.)","Metals - Total; EMS code: TI-T","7440-32-6","Concentration","mg/L",TRUE,"TI-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Bismuth Total (fl. conc.)","Metals - Total; EMS code: BI-T","7440-69-9","Concentration","mg/L",TRUE,"BI-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Zirconium Total (fl. conc.)","Metals - Total; EMS code: ZR-T","7440-67-7","Concentration","mg/L",TRUE,"ZR-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Magnesium Total (fl. conc.)","Metals - Total; EMS code: MG-T","7439-95-4","Concentration","mg/L",TRUE,"MG-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Strontium Total (fl. conc.)","Metals - Total; EMS code: SR-T","7440-24-6","Concentration","mg/L",TRUE,"SR-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Molybdenum Total (fl. conc.)","Metals - Total; EMS code: MO-T","7439-98-7","Concentration","mg/L",TRUE,"MO-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Lithium Total (fl. conc.)","Metals - Total; EMS code: LI-T",NA,"Concentration","mg/L",TRUE,"LI-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Vanadium Total (fl. conc.)","Metals - Total; EMS code: V--T","7440-62-2","Concentration","mg/L",TRUE,"V--T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Boron Total (fl. conc.)","Metals - Total; EMS code: B--T","7440-42-8","Concentration","mg/L",TRUE,"B--T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Sodium Total (fl. conc.)","Metals - Total; EMS code: NA-T","7440-23-5","Concentration","mg/L",TRUE,"NA-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Phosphorus Total (fl. conc.)","Nutrients; EMS code: P--T","7723-14-0","Concentration","mg/L",TRUE,"P--T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Tin Total (fl. conc.)","Metals - Total; EMS code: SN-T","7440-31-5","Concentration","mg/L",TRUE,"SN-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Barium Total (fl. conc.)","Metals - Total; EMS code: BA-T","7440-39-3","Concentration","mg/L",TRUE,"BA-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Cobalt Total (fl. conc.)","Metals - Total; EMS code: CO-T","7440-48-4","Concentration","mg/L",TRUE,"CO-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Silicon Total (fl. conc.)","Metals - Total; EMS code: SI-T","7440-21-3","Concentration","mg/L",TRUE,"SI-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Silver Total (fl. conc.)","Metals - Total; EMS code: AG-T","7440-22-4","Concentration","mg/L",TRUE,"AG-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Sulfur Total (fl. conc.)","EMS code: S--T","7704-34-9","Concentration","mg/L",TRUE,"S--T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Beryllium Total (fl. conc.)","Metals - Total; EMS code: BE-T","7440-41-7","Concentration","mg/L",TRUE,"BE-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Calcium Total (fl. conc.)","Metals - Total; EMS code: CA-T","7440-70-2","Concentration","mg/L",TRUE,"CA-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Tellurium Total (fl. conc.)","Metals - Total; EMS code: TE-T","13494-80-9","Concentration","mg/L",TRUE,"TE-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Thallium Total (fl. conc.)","Metals - Total; EMS code: TL-T","7440-28-0","Concentration","mg/L",TRUE,"TL-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Potassium Total (fl. conc.)","Metals - Total; EMS code: K--T",NA,"Concentration","mg/L",TRUE,"K--T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","0042","GI HNO3 Dig:  ICP","Sample aliquot taken from unfiltered unpreserved General Ions bottle; HNO3 digestion; ICP analysis.","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Lead Dissolved (fl. conc.)","Metals - Dissolved; EMS code: PB-D",NA,"Concentration","mg/L",TRUE,"PB-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Chromium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CR-D","7440-47-3","Concentration","mg/L",TRUE,"CR-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Cadmium-Soluble (mass flux)","Metals - Soluble; EMS code: CD-S","7440-43-9","MassFlux","mg/dm²/d",TRUE,"CD-S","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Cobalt Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CO-D","7440-48-4","Concentration","mg/L",TRUE,"CO-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
"Lead Total (fl. conc.)","Metals - Total; EMS code: PB-T",NA,"Concentration","mg/L",TRUE,"PB-T","CHEMICAL","NUMERIC","0050","Graphite Furnace AA","Graphite Furnace AA","EMS Migration"
